Algorithm,Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Shortfall,Operations,Time (Milli)
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,958,1025,67,3824150,3335
Hybrid IGA-SA,f1_l-d_kp_10_269,10,10,284,295,11,1899389,2514
Hybrid IGA-SA,f2_l-d_kp_20_878,10,20,966,1024,58,3817743,3370
Hybrid IGA-SA,f3_l-d_kp_4_20,10,4,39,35,-4,759027,2129
Hybrid IGA-SA,f4_l-d_kp_4_11,10,4,23,23,0,752885,2094
Hybrid IGA-SA,f6_l-d_kp_10_60,10,10,62,52,-10,1875301,2578
Hybrid IGA-SA,f7_l-d_kp_7_50,10,7,153,107,-46,1303240,2243
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,958,1025,67,767274,647
Hybrid IGA-SA,f1_l-d_kp_10_269,10,10,344,295,-49,381936,479
Hybrid IGA-SA,f2_l-d_kp_20_878,10,20,1018,1024,6,765724,715
Hybrid IGA-SA,f3_l-d_kp_4_20,10,4,39,35,-4,152871,423
Hybrid IGA-SA,f4_l-d_kp_4_11,10,4,25,23,-2,151111,478
Hybrid IGA-SA,f6_l-d_kp_10_60,10,10,64,52,-12,376332,473
Hybrid IGA-SA,f7_l-d_kp_7_50,10,7,151,107,-44,262264,435
Hybrid IGA-SA,f8_l-d_kp_23_10000,10,23,10694,9767,-927,881685,635
Hybrid IGA-SA,f9_l-d_kp_5_80,10,5,130,130,0,187701,557
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,912,1025,113,1519003,1498
Hybrid IGA-SA,f1_l-d_kp_10_269,10,10,345,295,-50,753916,1177
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,964,1025,61,1518180,1706
Hybrid IGA-SA,f1_l-d_kp_10_269,10,10,328,295,-33,755672,1226
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,1027,1025,-2,1517918,1572
Hybrid IGA-SA,f1_l-d_kp_10_269,10,10,257,295,38,754083,1146
Hybrid IGA-SA,f2_l-d_kp_20_878,10,20,998,1024,26,1515813,1455
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,1014,1025,11,1517541,1423
Hybrid IGA-SA,f1_l-d_kp_10_269,10,10,260,295,35,755477,1205
Hybrid IGA-SA,f2_l-d_kp_20_878,10,20,930,1024,94,1516297,1521
Hybrid IGA-SA,f3_l-d_kp_4_20,10,4,39,35,-4,301352,1043
Hybrid IGA-SA,f4_l-d_kp_4_11,10,4,25,23,-2,298976,1013
Hybrid IGA-SA,f6_l-d_kp_10_60,10,10,71,52,-19,744868,1163
Hybrid IGA-SA,f7_l-d_kp_7_50,10,7,136,107,-29,518998,1094
Hybrid IGA-SA,f8_l-d_kp_23_10000,10,23,10559,9767,-792,1746885,1398
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,947,1025,78,1518916,1546
Hybrid IGA-SA,f10_l-d_kp_20_879,10,20,1014,1025,11,1520583,1695
Hybrid IGA-SA,f1_l-d_kp_10_269,10,10,289,295,6,754642,1289
Hybrid IGA-SA,f2_l-d_kp_20_878,10,20,932,1024,92,1516330,1592
Hybrid IGA-SA,f3_l-d_kp_4_20,10,4,39,35,-4,301086,1229
Hybrid IGA-SA,f4_l-d_kp_4_11,10,4,23,23,0,299076,1104
Hybrid IGA-SA,f6_l-d_kp_10_60,10,10,61,52,-9,746542,1205
Hybrid IGA-SA,f7_l-d_kp_7_50,10,7,153,107,-46,519355,1264
Hybrid IGA-SA,f8_l-d_kp_23_10000,10,23,10562,9767,-795,1744833,2068
Hybrid IGA-SA,f9_l-d_kp_5_80,10,5,130,130,0,371883,1117
Hybrid IGA-SA,knapPI_1_10000_1000_1,10,10000,60546,563647,503101,761124722,129231
