Algorithm;Dataset;Iteration;Number Of Items;Best Value;Optimal Value;Shortfall;Operations;Time (Milli)
Hybrid IGA-SA;f4_l-d_kp_4_11;10;4;23;23;0;653098;728
Hybrid IGA-SA;f3_l-d_kp_4_20;10;4;35;35;0;653646;775
Hybrid IGA-SA;f9_l-d_kp_5_80;10;5;130;130;0;814559;783
Hybrid IGA-SA;f7_l-d_kp_7_50;10;7;107;107;0;1135394;768
Hybrid IGA-SA;f6_l-d_kp_10_60;10;10;52;52;0;1617492;930
Hybrid IGA-SA;f1_l-d_kp_10_269;10;10;295;295;0;1617418;977
Hybrid IGA-SA;f2_l-d_kp_20_878;10;20;1009;1024;15;3225935;1327
Hybrid IGA-SA;f10_l-d_kp_20_879;10;20;1025;1025;0;3226282;1394
Hybrid IGA-SA;f8_l-d_kp_23_10000;10;23;9763;9767;4;3707698;1266
Hybrid IGA-SA;knapPI_2_100_1000_1;10;100;1217;1514;297;16081361;2214
Hybrid IGA-SA;knapPI_3_100_1000_1;10;100;1690;2397;707;16076435;2276
Hybrid IGA-SA;knapPI_1_100_1000_1;10;100;8575;9147;572;16084871;2382
Hybrid IGA-SA;knapPI_2_200_1000_1;10;200;1347;1634;287;32164540;3673
Hybrid IGA-SA;knapPI_3_200_1000_1;10;200;1495;2697;1202;32160010;3713
Hybrid IGA-SA;knapPI_1_200_1000_1;10;200;8576;11238;2662;32153967;3807
Hybrid IGA-SA;knapPI_2_500_1000_1;10;500;3038;4566;1528;80379937;9246
Hybrid IGA-SA;knapPI_3_500_1000_1;10;500;3412;7117;3705;80440335;9204
Hybrid IGA-SA;knapPI_1_500_1000_1;10;500;12072;28857;16785;80406826;9351
Hybrid IGA-SA;knapPI_2_1000_1000_1;10;1000;5435;9052;3617;160922474;18511
Hybrid IGA-SA;knapPI_3_1000_1000_1;10;1000;6290;14390;8100;160904049;18604
Hybrid IGA-SA;knapPI_1_1000_1000_1;10;1000;14563;54503;39940;160882437;18766
Hybrid IGA-SA;knapPI_2_2000_1000_1;10;2000;10938;18051;7113;322356326;37608
Hybrid IGA-SA;knapPI_3_2000_1000_1;10;2000;12312;28919;16607;322353597;37496
Hybrid IGA-SA;knapPI_1_2000_1000_1;10;2000;27645;110625;82980;322350725;37727
Hybrid IGA-SA;knapPI_2_5000_1000_1;10;5000;25448;44356;18908;809117040;94607
Hybrid IGA-SA;knapPI_3_5000_1000_1;10;5000;30302;72505;42203;808935341;94830
Hybrid IGA-SA;knapPI_1_5000_1000_1;10;5000;39677;276457;236780;809282222;94990
Hybrid IGA-SA;knapPI_2_10000_1000_1;10;10000;50965;90204;39239;1629698458;192201
Hybrid IGA-SA;knapPI_3_10000_1000_1;10;10000;59716;146919;87203;1629944167;192458
Hybrid IGA-SA;knapPI_1_10000_1000_1;10;10000;73749;563647;489898;1630707046;192705
