Algorithm;Dataset;Iteration;Number Of Items;Best Value;Optimal Value;Shortfall;Operations;Time (Milli)
Simulated Annealing;f4_l-d_kp_4_11;10;4;29;23;-6;3608;3
Simulated Annealing;f3_l-d_kp_4_20;10;4;37;35;-2;3611;3
Simulated Annealing;f9_l-d_kp_5_80;10;5;142;130;-12;4507;3
Simulated Annealing;f7_l-d_kp_7_50;10;7;161;107;-54;6308;4
Simulated Annealing;f6_l-d_kp_10_60;10;10;68;52;-16;9011;4
Simulated Annealing;f1_l-d_kp_10_269;10;10;334;295;-39;9010;4
Simulated Annealing;f2_l-d_kp_20_878;10;20;991;1024;33;18031;7
Simulated Annealing;f10_l-d_kp_20_879;10;20;973;1025;52;18074;6
Simulated Annealing;f8_l-d_kp_23_10000;10;23;10704;9767;-937;20726;6
Simulated Annealing;knapPI_2_100_1000_1;10;100;1347;1514;167;92092;11
Simulated Annealing;knapPI_3_100_1000_1;10;100;1603;2397;794;92515;10
Simulated Annealing;knapPI_1_100_1000_1;10;100;1729;9147;7418;92593;11
Simulated Annealing;knapPI_2_200_1000_1;10;200;1426;1634;208;191016;22
Simulated Annealing;knapPI_3_200_1000_1;10;200;1677;2697;1020;190743;20
Simulated Annealing;knapPI_1_200_1000_1;10;200;1246;11238;9992;190036;20
Simulated Annealing;knapPI_2_500_1000_1;10;500;3071;4566;1495;513440;63
Simulated Annealing;knapPI_3_500_1000_1;10;500;3897;7117;3220;507298;62
Simulated Annealing;knapPI_1_500_1000_1;10;500;3672;28857;25185;506306;62
Simulated Annealing;knapPI_2_1000_1000_1;10;1000;111674;9052;-102622;990141;152
Simulated Annealing;knapPI_3_1000_1000_1;10;1000;141174;14390;-126784;985949;159
Simulated Annealing;knapPI_1_1000_1000_1;10;1000;110734;54503;-56231;987556;154
Simulated Annealing;knapPI_2_2000_1000_1;10;2000;363989;18051;-345938;1885891;343
Simulated Annealing;knapPI_3_2000_1000_1;10;2000;432138;28919;-403219;1884830;331
Simulated Annealing;knapPI_1_2000_1000_1;10;2000;355951;110625;-245326;1888878;335
Simulated Annealing;knapPI_2_5000_1000_1;10;5000;1125629;44356;-1081273;4599891;847
Simulated Annealing;knapPI_3_5000_1000_1;10;5000;1368562;72505;-1296057;4584662;847
Simulated Annealing;knapPI_1_5000_1000_1;10;5000;1127599;276457;-851142;4590706;853
Simulated Annealing;knapPI_2_10000_1000_1;10;10000;2432161;90204;-2341957;9090397;1728
Simulated Annealing;knapPI_3_10000_1000_1;10;10000;2878499;146919;-2731580;9092882;1742
Simulated Annealing;knapPI_1_10000_1000_1;10;10000;2385662;563647;-1822015;9094974;1708
