Algorithm,Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Shortfall,Operations,Time (Milli)
Genetic Algorithm,f10_l-d_kp_20_879,1,20,1025,1025,0,1491464,1438
Genetic Algorithm,f1_l-d_kp_10_269,1,10,295,295,0,781654,1325
Genetic Algorithm,f2_l-d_kp_20_878,1,20,1024,1024,0,1494172,1495
Genetic Algorithm,f3_l-d_kp_4_20,1,4,35,35,0,355000,1353
Genetic Algorithm,f4_l-d_kp_4_11,1,4,23,23,0,354642,1292
Genetic Algorithm,f6_l-d_kp_10_60,1,10,52,52,0,781836,1442
Genetic Algorithm,f7_l-d_kp_7_50,1,7,105,107,2,568981,1299
Genetic Algorithm,f8_l-d_kp_23_10000,1,23,9754,9767,13,1706663,1459
Genetic Algorithm,f9_l-d_kp_5_80,1,5,130,130,0,426286,1271
Genetic Algorithm,knapPI_1_10000_1000_1,1,10000,2392568,563647,-1828921,712400130,95749
Genetic Algorithm,knapPI_1_1000_1000_1,1,1000,167249,54503,-112746,71239144,9912
Genetic Algorithm,knapPI_1_100_1000_1,1,100,17570,9147,-8423,7192472,1994
Genetic Algorithm,knapPI_1_2000_1000_1,1,2000,394987,110625,-284362,142586274,19512
Genetic Algorithm,knapPI_1_200_1000_1,1,200,30390,11238,-19152,14303046,2763
Genetic Algorithm,knapPI_1_5000_1000_1,1,5000,1136328,276457,-859871,355829808,48308
Genetic Algorithm,knapPI_1_500_1000_1,1,500,80631,28857,-51774,35626808,5281
Genetic Algorithm,knapPI_2_10000_1000_1,1,10000,1938590,90204,-1848386,711300216,96140
Genetic Algorithm,knapPI_2_1000_1000_1,1,1000,16479,9052,-7427,71317956,9285
Genetic Algorithm,knapPI_2_100_1000_1,1,100,1487,1514,27,7199130,1920
Genetic Algorithm,knapPI_2_2000_1000_1,1,2000,128054,18051,-110003,142653852,18609
Genetic Algorithm,knapPI_2_200_1000_1,1,200,1328,1634,306,14295908,2523
Genetic Algorithm,knapPI_2_5000_1000_1,1,5000,763692,44356,-719336,356260158,47283
Genetic Algorithm,knapPI_2_500_1000_1,1,500,3309,4566,1257,35674160,4800
Genetic Algorithm,knapPI_3_10000_1000_1,1,10000,2352574,146919,-2205655,711909918,96182
Genetic Algorithm,knapPI_3_1000_1000_1,1,1000,31017,14390,-16627,71239796,9286
Genetic Algorithm,knapPI_3_100_1000_1,1,100,2097,2397,300,7188802,1900
Genetic Algorithm,knapPI_3_2000_1000_1,1,2000,174323,28919,-145404,142612040,18643
Genetic Algorithm,knapPI_3_200_1000_1,1,200,3040,2697,-343,14291670,2596
Genetic Algorithm,knapPI_3_5000_1000_1,1,5000,962295,72505,-889790,356130188,49783
Genetic Algorithm,knapPI_3_500_1000_1,1,500,10661,7117,-3544,35630132,5215
