Algorithm,Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Shortfall,Operations,Time (Milli)
Genetic Algorithm,f10_l-d_kp_20_879,1,20,1025,1025,0,1130928,1486
Genetic Algorithm,f1_l-d_kp_10_269,1,10,295,295,0,587120,1371
Genetic Algorithm,f2_l-d_kp_20_878,1,20,1024,1024,0,1131450,1660
Genetic Algorithm,f3_l-d_kp_4_20,1,4,35,35,0,262068,1404
Genetic Algorithm,f4_l-d_kp_4_11,1,4,23,23,0,262364,1354
Genetic Algorithm,f6_l-d_kp_10_60,1,10,52,52,0,587380,1386
Genetic Algorithm,f7_l-d_kp_7_50,1,7,105,107,2,425533,1367
Genetic Algorithm,f8_l-d_kp_23_10000,1,23,9767,9767,0,1291032,1498
Genetic Algorithm,f9_l-d_kp_5_80,1,5,130,130,0,316343,1298
Genetic Algorithm,knapPI_1_10000_1000_1,1,10000,2242338,563647,-1678691,542425266,105833
Genetic Algorithm,knapPI_1_1000_1000_1,1,1000,127257,54503,-72754,54307316,10894
Genetic Algorithm,knapPI_1_100_1000_1,1,100,8016,9147,1131,5468046,1974
Genetic Algorithm,knapPI_1_2000_1000_1,1,2000,345031,110625,-234406,108535296,21543
Genetic Algorithm,knapPI_1_200_1000_1,1,200,9228,11238,2010,10892512,2705
Genetic Algorithm,knapPI_1_5000_1000_1,1,5000,1044723,276457,-768266,271230308,55949
Genetic Algorithm,knapPI_1_500_1000_1,1,500,25040,28857,3817,27163196,6021
Genetic Algorithm,knapPI_2_10000_1000_1,1,10000,2141283,90204,-2051079,542635246,114338
Genetic Algorithm,knapPI_2_1000_1000_1,1,1000,78160,9052,-69108,54277012,11000
Genetic Algorithm,knapPI_2_100_1000_1,1,100,1262,1514,252,5461758,2114
Genetic Algorithm,knapPI_2_2000_1000_1,1,2000,274923,18051,-256872,108483290,21190
Genetic Algorithm,knapPI_2_200_1000_1,1,200,1176,1634,458,10915006,2677
Genetic Algorithm,knapPI_2_5000_1000_1,1,5000,976132,44356,-931776,271420380,53880
Genetic Algorithm,knapPI_2_500_1000_1,1,500,12366,4566,-7800,27178212,5640
Genetic Algorithm,knapPI_3_10000_1000_1,1,10000,2627441,146919,-2480522,542445344,111869
Genetic Algorithm,knapPI_3_1000_1000_1,1,1000,114284,14390,-99894,54288314,10812
Genetic Algorithm,knapPI_3_100_1000_1,1,100,1895,2397,502,5467476,1956
Genetic Algorithm,knapPI_3_2000_1000_1,1,2000,339692,28919,-310773,108685118,21982
Genetic Algorithm,knapPI_3_200_1000_1,1,200,2272,2697,425,10875154,3324
Genetic Algorithm,knapPI_3_5000_1000_1,1,5000,1168486,72505,-1095981,271290274,54449
Genetic Algorithm,knapPI_3_500_1000_1,1,500,15529,7117,-8412,27168126,5617
