Algorithm,Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Shortfall,Operations,Time (Milli)
Hybrid IGA-SA,f10_l-d_kp_20_879,1,20,963,1025,62,6447374,3248
Hybrid IGA-SA,f1_l-d_kp_10_269,1,10,295,295,0,3232640,2411
Hybrid IGA-SA,f2_l-d_kp_20_878,1,20,1009,1024,15,6451233,3287
Hybrid IGA-SA,f3_l-d_kp_4_20,1,4,35,35,0,1306656,2001
Hybrid IGA-SA,f4_l-d_kp_4_11,1,4,23,23,0,1305150,2022
Hybrid IGA-SA,f6_l-d_kp_10_60,1,10,52,52,0,3231478,2430
Hybrid IGA-SA,f7_l-d_kp_7_50,1,7,77,107,30,2269052,2093
Hybrid IGA-SA,f8_l-d_kp_23_10000,1,23,9763,9767,4,7411052,3098
Hybrid IGA-SA,f9_l-d_kp_5_80,1,5,130,130,0,1628251,2119
Hybrid IGA-SA,knapPI_1_10000_1000_1,1,10000,86687,563647,476960,3235162552,394646
Hybrid IGA-SA,knapPI_1_1000_1000_1,1,1000,17710,54503,36793,321545179,39380
Hybrid IGA-SA,knapPI_1_100_1000_1,1,100,5504,9147,3643,32143963,5118
Hybrid IGA-SA,knapPI_1_2000_1000_1,1,2000,27099,110625,83526,643114487,78257
Hybrid IGA-SA,knapPI_1_200_1000_1,1,200,5573,11238,5665,64272036,8183
Hybrid IGA-SA,knapPI_1_5000_1000_1,1,5000,41276,276457,235181,1612020007,196251
Hybrid IGA-SA,knapPI_1_500_1000_1,1,500,15464,28857,13393,160704387,19916
Hybrid IGA-SA,knapPI_2_10000_1000_1,1,10000,50486,90204,39718,3235664258,393978
Hybrid IGA-SA,knapPI_2_1000_1000_1,1,1000,5594,9052,3458,321635397,38891
Hybrid IGA-SA,knapPI_2_100_1000_1,1,100,1191,1514,323,32140185,5062
Hybrid IGA-SA,knapPI_2_2000_1000_1,1,2000,11063,18051,6988,643270328,77636
Hybrid IGA-SA,knapPI_2_200_1000_1,1,200,1308,1634,326,64265205,8136
Hybrid IGA-SA,knapPI_2_5000_1000_1,1,5000,24827,44356,19529,1611459027,193379
Hybrid IGA-SA,knapPI_2_500_1000_1,1,500,2694,4566,1872,160609350,19408
Hybrid IGA-SA,knapPI_3_10000_1000_1,1,10000,58818,146919,88101,3234416767,395257
Hybrid IGA-SA,knapPI_3_1000_1000_1,1,1000,6087,14390,8303,321370957,38602
Hybrid IGA-SA,knapPI_3_100_1000_1,1,100,1193,2397,1204,32143921,4962
Hybrid IGA-SA,knapPI_3_2000_1000_1,1,2000,11618,28919,17301,643172608,77285
Hybrid IGA-SA,knapPI_3_200_1000_1,1,200,1297,2697,1400,64271436,8059
Hybrid IGA-SA,knapPI_3_5000_1000_1,1,5000,29697,72505,42808,1612132542,194258
Hybrid IGA-SA,knapPI_3_500_1000_1,1,500,3106,7117,4011,160685439,19403
