Algorithm,Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Shortfall,Operations,Time (Milli)
Simulated Annealing,f10_l-d_kp_20_879,1,20,935,1025,90,120058,37
Simulated Annealing,f1_l-d_kp_10_269,1,10,209,295,86,60017,20
Simulated Annealing,f2_l-d_kp_20_878,1,20,794,1024,230,120028,37
Simulated Annealing,f3_l-d_kp_4_20,1,4,28,35,7,24007,16
Simulated Annealing,f4_l-d_kp_4_11,1,4,23,23,0,24007,17
Simulated Annealing,f6_l-d_kp_10_60,1,10,47,52,5,60010,22
Simulated Annealing,f7_l-d_kp_7_50,1,7,134,107,-27,42009,18
Simulated Annealing,f8_l-d_kp_23_10000,1,23,9571,9767,196,138024,38
Simulated Annealing,f9_l-d_kp_5_80,1,5,109,130,21,30012,20
Simulated Annealing,knapPI_1_10000_1000_1,1,10000,1436234,563647,-872587,64121927,10578
Simulated Annealing,knapPI_1_1000_1000_1,1,1000,6958,54503,47545,6241588,707
Simulated Annealing,knapPI_1_100_1000_1,1,100,1729,9147,7418,602493,68
Simulated Annealing,knapPI_1_2000_1000_1,1,2000,11418,110625,99207,12939568,1560
Simulated Annealing,knapPI_1_200_1000_1,1,200,690,11238,10548,1210165,119
Simulated Annealing,knapPI_1_5000_1000_1,1,5000,268005,276457,8452,33938440,4941
Simulated Annealing,knapPI_1_500_1000_1,1,500,3650,28857,25207,3058972,325
Simulated Annealing,knapPI_2_10000_1000_1,1,10000,1532544,90204,-1442340,63939175,10626
Simulated Annealing,knapPI_2_1000_1000_1,1,1000,5245,9052,3807,6241097,701
Simulated Annealing,knapPI_2_100_1000_1,1,100,865,1514,649,602212,70
Simulated Annealing,knapPI_2_2000_1000_1,1,2000,10125,18051,7926,12939687,1551
Simulated Annealing,knapPI_2_200_1000_1,1,200,628,1634,1006,1208980,124
Simulated Annealing,knapPI_2_5000_1000_1,1,5000,235711,44356,-191355,34052057,4892
Simulated Annealing,knapPI_2_500_1000_1,1,500,2523,4566,2043,3058851,322
Simulated Annealing,knapPI_3_10000_1000_1,1,10000,1729993,146919,-1583074,64238891,10543
Simulated Annealing,knapPI_3_1000_1000_1,1,1000,6473,14390,7917,6247616,710
Simulated Annealing,knapPI_3_100_1000_1,1,100,1359,2397,1038,602719,67
Simulated Annealing,knapPI_3_2000_1000_1,1,2000,11875,28919,17044,12990633,1614
Simulated Annealing,knapPI_3_200_1000_1,1,200,1737,2697,960,1209057,122
Simulated Annealing,knapPI_3_5000_1000_1,1,5000,292108,72505,-219603,34075461,4828
Simulated Annealing,knapPI_3_500_1000_1,1,500,3562,7117,3555,3058119,330
