Algorithm,Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Shortfall,Operations,Time (Milli)
Simulated Annealing,f10_l-d_kp_20_879,1,20,1002,1025,23,120128,77
Simulated Annealing,f1_l-d_kp_10_269,1,10,151,295,144,60013,50
Simulated Annealing,f2_l-d_kp_20_878,1,20,901,1024,123,120075,81
Simulated Annealing,f3_l-d_kp_4_20,1,4,37,35,-2,24009,38
Simulated Annealing,f4_l-d_kp_4_11,1,4,22,23,1,24005,31
Simulated Annealing,f6_l-d_kp_10_60,1,10,56,52,-4,60011,46
Simulated Annealing,f7_l-d_kp_7_50,1,7,107,107,0,42007,37
Simulated Annealing,f8_l-d_kp_23_10000,1,23,9583,9767,184,138023,74
Simulated Annealing,f9_l-d_kp_5_80,1,5,142,130,-12,30008,36
Simulated Annealing,knapPI_1_10000_1000_1,1,10000,1548425,563647,-984778,63947060,19132
Simulated Annealing,knapPI_1_1000_1000_1,1,1000,6089,54503,48414,6218365,1215
Simulated Annealing,knapPI_1_100_1000_1,1,100,318,9147,8829,602813,119
Simulated Annealing,knapPI_1_2000_1000_1,1,2000,9311,110625,101314,12910735,2747
Simulated Annealing,knapPI_1_200_1000_1,1,200,119,11238,11119,1209823,196
Simulated Annealing,knapPI_1_5000_1000_1,1,5000,255455,276457,21002,33968862,8885
Simulated Annealing,knapPI_1_500_1000_1,1,500,2256,28857,26601,3061977,543
Simulated Annealing,knapPI_2_10000_1000_1,1,10000,1504213,90204,-1414009,63980792,19822
Simulated Annealing,knapPI_2_1000_1000_1,1,1000,4864,9052,4188,6255258,1616
Simulated Annealing,knapPI_2_100_1000_1,1,100,1347,1514,167,602237,196
Simulated Annealing,knapPI_2_2000_1000_1,1,2000,10179,18051,7872,13012959,3131
Simulated Annealing,knapPI_2_200_1000_1,1,200,1426,1634,208,1211635,417
Simulated Annealing,knapPI_2_5000_1000_1,1,5000,206669,44356,-162313,34168079,7983
Simulated Annealing,knapPI_2_500_1000_1,1,500,2169,4566,2397,3065254,681
Simulated Annealing,knapPI_3_10000_1000_1,1,10000,1781687,146919,-1634768,64081045,18308
Simulated Annealing,knapPI_3_1000_1000_1,1,1000,5911,14390,8479,6236740,1237
